,type,value,code_loc,code,token_identifier
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,1,data,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'data'
0,2,input,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'input'
0,2,input,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'input'
0,3,datalines,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'datalines'
0,3,datalines,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'datalines'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,4,run,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'run'
0,7,proc,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'proc'
0,8,_null_,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'_null_'
0,8,_null_,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,'_null_'
0,18,340,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,200,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,5,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,433,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,1,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,10,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,1,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,4344,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,3555,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,328,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,3777,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,4888,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,7999,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,53111,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,7122,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,156,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,2666,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,18,41333,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,INT
0,45,sum,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,SUM
0,45,sum,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,SUM
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
0,68,;,,/home/pooja/PycharmProjects/sas-grammar/////sas_codes///data_step.sas,';'
